full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr,is_igl
https://www.hltv.org/stats/players/2553/snax,Snax,Poland,31 years,G2,0.62,1.02,0.69,74.1,68.7,0.47,,0.17,0.06,0.08,0.09,0.15,0.15,0.13,0.18,0.62,0.11,0.11,0.22,50.9%,0.73,2.64,0.32,0.14,0.2,0.1,0.04,0.03,0.06,0.08,0.09,0.12,0.19,77,0.42,0.02,0.09,0.61,0.43,0.07,0.5,4.7,1.13,0.5,0.03,2.01,True
https://www.hltv.org/stats/players/3741/niko,NiKo,Bosnia and Herzegovina,27 years,G2,0.94,1.15,0.79,85.4,95.7,0.51,,0.2,0.11,0.08,0.1,0.17,0.17,0.14,0.16,0.86,0.14,0.12,0.26,54.9%,0.73,2.84,0.11,0.06,0.08,0.05,0.02,0.02,0.2,0.1,0.11,0.14,0.16,93,0.43,0.02,0.09,0.6,0.54,0.06,0.64,4.81,0.74,0.64,0.04,2.03,False
https://www.hltv.org/stats/players/3972/hunter,huNter-,Bosnia and Herzegovina,28 years,G2,0.89,1.1,0.76,82.8,105.6,0.5,,0.19,0.46,0.1,0.14,0.24,0.24,0.15,0.17,0.64,0.11,0.1,0.21,53.8%,0.76,3.17,0.0,0.01,0.01,0.01,0.002,0.0007,0.49,0.11,0.15,0.2,0.19,108,0.42,0.02,0.09,0.58,0.62,0.06,0.68,5.61,1.09,0.62,0.03,2.03,False
https://www.hltv.org/stats/players/11617/malbsmd,malbsMd,Guatemala,22 years,G2,0.88,1.14,0.76,81.6,107.8,0.49,1.26,0.19,0.68,0.11,0.15,0.26,0.26,0.14,0.15,0.81,0.13,0.12,0.25,52.3%,0.73,2.73,0.0,0.0,0.0,0.0,0.0004,0.0002,0.41,0.11,0.14,0.18,0.19,108,0.36,0.02,0.08,0.62,0.58,0.04,0.54,5.37,1.02,0.46,0.03,2.26,False
https://www.hltv.org/stats/players/19230/m0nesy,m0NESY,Russia,19 years,G2,0.89,1.23,0.78,79.6,102.6,0.51,1.27,0.2,0.26,0.09,0.11,0.22,0.22,0.11,0.18,0.82,0.14,0.08,0.22,63.0%,0.75,1.98,0.93,0.39,0.5,0.29,0.1,0.09,0.5,0.11,0.15,0.2,0.18,102,0.64,0.03,0.11,0.6,0.68,0.1,0.57,2.81,0.53,0.7,0.08,2.53,False
https://www.hltv.org/stats/players/7716/chopper,chopper,Russia,27 years,Spirit,0.4,0.95,0.64,70.8,88.6,0.44,,0.15,0.56,0.11,0.14,0.26,0.26,0.13,0.19,0.45,0.09,0.11,0.2,46.8%,0.72,2.63,0.0,0.01,0.01,0.0,0.0008,0.0006,0.14,0.08,0.11,0.17,0.19,108,0.42,0.02,0.09,0.55,0.63,0.06,0.69,4.42,0.88,0.73,0.05,2.27,True
https://www.hltv.org/stats/players/16920/sh1ro,sh1ro,Russia,23 years,Spirit,0.85,1.25,0.77,78.3,98.1,0.51,1.27,0.19,0.15,0.08,0.1,0.21,0.21,0.11,0.21,0.6,0.11,0.06,0.17,66.1%,0.77,2.11,0.94,0.43,0.55,0.33,0.11,0.09,0.61,0.11,0.17,0.22,0.2,101,0.83,0.03,0.15,0.65,0.73,0.16,0.65,3.92,0.87,0.71,0.07,2.37,False
https://www.hltv.org/stats/players/18317/magixx,magixx,Russia,21 years,Spirit,0.38,1.05,0.64,70.2,88.2,0.44,1.14,0.15,0.64,0.1,0.14,0.29,0.29,0.13,0.22,0.38,0.09,0.09,0.18,50.2%,0.76,2.49,0.03,0.02,0.03,0.02,0.004,0.003,0.36,0.1,0.13,0.2,0.19,110,0.45,0.02,0.09,0.61,0.68,0.1,0.51,4.38,0.84,0.53,0.03,2.27,False
https://www.hltv.org/stats/players/20423/zont1x,zont1x,Ukraine,19 years,Spirit,0.62,1.1,0.68,77.3,97.1,0.46,1.14,0.16,0.41,0.1,0.13,0.21,0.21,0.16,0.21,0.56,0.1,0.1,0.2,51.5%,0.73,3.02,0.0,0.01,0.01,0.01,0.001,0.001,0.28,0.1,0.12,0.18,0.2,114,0.44,0.02,0.08,0.72,0.64,0.07,0.52,5.38,1.12,0.42,0.03,2.31,False
https://www.hltv.org/stats/players/21167/donk,donk,Russia,17 years,Spirit,0.98,1.27,0.85,88.8,115.9,0.53,1.35,0.22,0.64,0.11,0.15,0.24,0.24,0.15,0.16,0.87,0.14,0.11,0.25,55.8%,0.74,2.84,0.01,0.01,0.02,0.01,0.003,0.001,0.71,0.15,0.17,0.21,0.2,105,0.39,0.02,0.07,0.69,0.62,0.07,0.28,3.63,0.64,0.39,0.02,2.0,False
